Serial_number Axis Date Time Old_Cal_Offset New_Cal_Offset Diff_Cal_Offset
14kL-501554 1 2018-08-24 12:08:11 5.22820 5.34150 0.11330
14kL-501554 2 2018-08-24 12:08:38 5.85160 0.26660 -5.58500
14kL-501554 3 2018-08-24 12:09:11 4.88490 5.05860 0.17370
14kL-501554 4 2018-08-24 12:09:44 3.32730 0.62820 -2.69910
14kL-501554 5 2018-08-24 12:10:41 4.10630 3.53220 -0.57410
14kL-501554 6 2018-08-24 12:11:13 5.59650 1.16340 -4.43310
14kL-501554 7 2018-08-24 12:11:43 3.18100 1.53320 -1.64780
14kR-501554 1 2018-08-24 12:17:37 0.16420 5.35970 5.19550
14kR-501554 2 2018-08-24 12:18:05 6.03670 1.79140 -4.24530
14kR-501554 3 2018-08-24 12:18:36 0.73440 5.83240 5.09800
14kR-501554 4 2018-08-24 12:19:10 3.95480 3.85200 -0.10280
14kR-501554 5 2018-08-24 12:20:03 4.17160 3.92150 -0.25010
14kR-501554 6 2018-08-24 12:20:37 0.02730 0.31810 0.29080
14kR-501554 7 2018-08-24 12:21:07 4.91620 3.50690 -1.40930
